1	1.2260445146
2	0.2168927281
3	0.1727418215
4	0.1489419227
5	0.1175629107
6	0.0876585066
7	0.0632796849
8	0.0449066681
9	0.0315929829
10	0.0221308889
11	0.0154698789
12	0.0108025160
13	0.0075395142
14	0.0052608369
15	0.0036704070
16	0.0025606384
17	0.0017863639
18	0.0012461939
19	0.0008693574
20	0.0006064705
21	0.0004230779
22	0.0002951418
23	0.0002058926
24	0.0001436319
25	0.0001001984
26	0.0000698990
27	0.0000487619
28	0.0000340166
29	0.0000237302
30	0.0000165543
31	0.0000115484
32	0.0000080562
33	0.0000056201
34	0.0000039206
35	0.0000027350
36	0.0000019080
37	0.0000013310
38	0.0000009285
