0	2.02e+02
1	7.05e+07
2	1.76e+07
3	1.32e+07
4	9.92e+06
5	7.44e+06
6	5.58e+06
7	4.19e+06
8	3.14e+06
9	2.35e+06
10	1.77e+06
11	1.32e+06
12	9.93e+05
13	7.45e+05
14	5.59e+05
15	4.19e+05
16	3.14e+05
17	2.36e+05
18	1.77e+05
19	1.33e+05
20	9.94e+04
21	7.46e+04
22	5.59e+04
23	4.19e+04
24	3.15e+04
25	2.36e+04
26	1.77e+04
27	1.33e+04
28	9.95e+03
29	7.47e+03
30	5.60e+03
31	4.20e+03
32	3.15e+03
33	2.36e+03
34	1.77e+03
35	1.33e+03
36	9.97e+02
37	7.47e+02
38	5.61e+02
39	4.21e+02
40	3.15e+02
41	2.37e+02
42	1.78e+02
43	1.33e+02
44	1.00e+02
45	7.51e+01
46	5.65e+01
47	4.25e+01
48	3.20e+01
49	2.41e+01
50	1.82e+01
51	1.38e+01
52	1.05e+01
53	8.01e+00
54	6.13e+00
55	4.71e+00
56	3.63e+00
57	2.81e+00
58	2.18e+00
59	1.70e+00
60	1.33e+00
61	1.04e+00
62	8.13e-01
63	6.35e-01
64	4.93e-01
65	3.77e-01
66	2.79e-01
67	1.89e-01
68	1.03e-01
69	3.28e-02
70	3.19e-03
71	6.25e-05
72	6.27e-06
73	7.89e-07
